fname,ridge,lasso,enr,dt,ridge_lasso_enr_dt
D3612_D3613_D3614.csv,70131001.05474564,69929906.3418607,69963170.90494686,701.593942769007,69998964.51887244
D133_D134_D135.csv,1218401.1418378155,1379619.4017497331,2511642.7013574014,4865773.737818541,1935233.6987430123
D2045_D2046_D2047.csv,15888726.200569147,16236856.809315745,15907576.317221532,24757.764629137513,16177980.174113344
D2041_D2042_D2043.csv,15548623.066001514,15109378.718289172,15625223.65632229,63315.73300460111,15734516.289693963
D160_D161_D162.csv,1199815.8651395584,1165015.6786164194,1191959.5120246494,1205.6092843432596,1224500.0250995043
D3604_D3605_D3606.csv,10894973.677044235,10501213.3950521,10679900.3912189,20440.73269662134,10814469.881961197
D1619_D1620_D1621.csv,21904074.68835442,23008201.93136066,23028152.855237003,4148674.3911357974,27931038.216772188
D1620_D1621_D1622.csv,19111678.78546354,20858305.637820497,19923706.094938327,163245.83152178492,19621293.50701379
D1634_D1635_D1636.csv,48867562.34754362,48458728.31413226,49166871.68928485,252723.8453972233,48710998.55140137
D3606_D3607_D3608.csv,97988992.2666475,96552598.99622485,96612511.49403074,678246.3321342733,97921432.89268884
D33_D34_D35.csv,27465585.03021697,27501898.056182392,27518250.923209887,4746.964421347679,27535431.060217083
D176_D177_D178.csv,32237.72508324836,38397.1028423824,33855.53124408619,165505.4061648603,27290.31244706702
D44_D45_D46.csv,916952.8065137438,884244.3505680474,904381.807015791,166746.11815975,1076423.777991332
D139_D140_D141.csv,16081712.02500562,16082281.349757034,16082281.349757034,295.5559293060066,16124708.810790025
D1658_D1659_D1660.csv,851766.6915311152,847619.9146425413,849854.456218345,397.90526630346835,852811.8078618122
D2051_D2052_D2053.csv,186582.90372204658,156113.1241810205,150299.19945115698,107174.522774093,243984.3190823787
D1657_D1658_D1659.csv,19827057.62231805,15944910.103663824,20234583.569858614,83028.33172866383,19722837.97576472
D3607_D3608_D3609.csv,21834602.645017628,21704148.474370867,21370802.524593085,25669.856040249448,21986044.988129377
D1648_D1649_D1650.csv,22290416.241863597,19547989.41694124,20412951.296483327,9814029.307709752,16784908.908879034
D2043_D2044_D2045.csv,3160171.9574978165,3030975.897240593,3051854.467944407,7629.092010609596,3129921.5579357287
D1627_D1628_D1629.csv,13964254.26564103,13545006.849011363,13704634.192173196,14187.96396294434,13693132.717223722
D2076_D2077_D2078.csv,9954901.047769174,9375815.391284997,7264006.111668672,221931.93760080557,11894225.379956687
D2067_D2068_D2069.csv,149084.25372630428,159561.67519908698,152223.9986078757,6742.664663429944,148002.38323145613
D1644_D1645_D1646.csv,14860595.415221645,14706948.899997907,14712555.055217078,8790.205793518055,14728159.495962432
D3611_D3612_D3613.csv,45381416.064586565,44692082.08724784,44529301.41457017,794286.4811020036,46247377.71878419
D153_D154_D155.csv,1496088.7883547288,1527552.366741043,1525325.2092878832,2297.460820316898,1450470.6332904417
D3605_D3606_D3607.csv,2000757.3565734453,2033786.4123331464,1989418.4587997384,1541.6359998716207,1997114.1650302627
D1647_D1648_D1649.csv,11258489.158930574,11110784.556212012,11137925.827426093,76949.74479168271,10522655.760073306
D3621_D3622_D3623.csv,43056206.43259535,43340351.939622134,43339850.19323953,2535.0375312074007,43352083.45977234
D137_D138_D139.csv,11660702.596671764,12624446.173546623,12699322.800459273,2828691.40625,7782409.144368639
D3617_D3618_D3619.csv,14260.96212183279,12619.380790173353,12619.380790173353,6966.580295138888,10813.130581408916
D128_D129_D130.csv,5416128.594136384,5447697.638604609,5447697.638604609,1536915.9201054047,5895925.967455357
D3632_D3633_D3634.csv,45969.51474795623,36799.215229768546,37098.854656025695,231660.88154339412,47748.24000208761
D1637_D1638_D1639.csv,40274246.66059636,40347327.97096071,40260102.47534321,2910.6915509259275,40310471.17603019
D2081_D2082_D2083.csv,3245572.3919572043,3213611.140221925,3230251.8467813935,481018.55325466255,2721990.2086922657
D24_D25_D26.csv,52956.66080253988,52185.334105789945,50349.208459501584,19609.126832222217,53407.53408456287
D1646_D1647_D1648.csv,7441447.777142344,7439119.959252268,7645714.265235048,628223.9979919716,7379402.068632503
D3629_D3630_D3631.csv,221036.2137210501,223770.5441170244,223476.95449509108,425.41395991511763,217554.27414579285
D27_D28_D29.csv,1936163.5106334263,1861912.4359000132,1806191.7544509054,39975.482579482006,2172198.4493915024
D1654_D1655_D1656.csv,6394327.597429306,6536080.876626501,6521105.701800958,5330.060993488338,6646561.321057655
D173_D174_D175.csv,65772724.474970534,65757635.71845248,65791135.32093133,214.1539670326323,65766405.61350542
D10_D11_D12.csv,776206.9088496778,785861.518189586,790329.1349465165,8929.686446686106,772309.1405650856
D1614_D1615_D1616.csv,984689.5490783539,1085463.3897298235,1188652.5587351685,19053.697138999523,1074001.5037804455
D143_D144_D145.csv,15127194.873593748,15049709.873399759,15121116.941429794,16365.892533939821,15157419.97031441
D1641_D1642_D1643.csv,22027009.804183643,21411480.579682067,21805491.615508307,4674.7146037117245,21290053.627224136
D2037_D2038_D2039.csv,330146.9289087464,329216.7682767762,329216.7682767762,2014.852182539683,324777.25947607134
D155_D156_D157.csv,23137.531635840558,25370.829563331634,25222.244242905763,18798.74791770445,28846.107878760948
D32_D33_D34.csv,4569147.33355661,4540892.179695218,4540983.861331021,45534.610734693895,4809892.3763788175
D141_D142_D143.csv,1987.8934307833115,1815.6615396470393,1886.74509484497,364.63822193375455,1510.4441413266752
D1661_D1662_D1663.csv,7783541.112503502,7784022.539459663,7788726.792787302,48068.29762371752,7593469.13940408
D171_D172_D173.csv,21840.532633154566,23700.715163552326,23700.715163552326,45524.1229643472,26290.19809755109
D1662_D1663_D1664.csv,9073.59630698389,8823.352273430928,9537.640659093706,9251.833085474931,10941.525391497267
D1653_D1654_D1655.csv,882087.1238947754,892484.6373716051,894547.8933716802,5600.298653609174,852693.2759434207
D12_D13_D14.csv,743713.9073778237,822787.208761526,794701.853954985,6358.603364583334,788025.6766765097
D1617_D1618_D1619.csv,439847.7204880618,427241.8986736724,425450.3709806376,6411.530918276652,442093.21898307884
D16_D17_D18.csv,4936373.947460666,4845957.7126986105,5283304.894128153,260597.7263958333,4935852.529543866
D43_D44_D45.csv,1326.3232495885297,1509.2928667109568,1509.743783694582,1670.6905681818162,3154.7777825411176
D1652_D1653_D1654.csv,6757838.449679451,6948535.354757505,6922303.286466712,425440.5277777777,6600866.622224663
D3634_D3635_D3636.csv,1124804.7659082112,1252670.2716099166,1231333.7804255022,9644.901400226761,1132405.6398414702
D6_D7_D8.csv,470808.8231209647,477706.81937866006,477286.38296065683,454.52900263922095,484804.16585111694
D1635_D1636_D1637.csv,39449806.72299663,37994896.71408267,37806256.206825115,167046.44922705521,37476700.039971665
D3640_D3641_D3642.csv,58851.685659328075,82663.06430282671,63663.86281845845,270360.4378905852,111601.11321878285
D3631_D3632_D3633.csv,5995577.143603901,6026189.110516623,5993332.626846331,12648.963697961837,6024834.399919773
D7_D8_D9.csv,174256.2258084639,178065.61575431534,177312.18848881818,419.88044636499507,177587.2768680794
D2056_D2057_D2058.csv,783805.3296641428,772855.6599286153,775890.6910799363,4643.896158950175,778806.5493659917
D3644_D3645_D3646.csv,21711365.853731707,21565760.268604614,21319206.915226314,4359.987826086958,21407829.233619872
D19_D20_D21.csv,48828.248168474085,48172.07718963862,47237.749166885085,1622.3784340277798,47669.84486831462
D3623_D3624_D3625.csv,62707111.74149724,63884218.479284,63787638.69932211,483781.4348943637,64388114.464137845
D2050_D2051_D2052.csv,2553437.007725276,2244993.038183968,2244993.038183968,272258.27438548097,2293418.0906135067
D2038_D2039_D2040.csv,472968.51991929155,462891.60037274315,462928.451435795,6505.911486665721,374824.3167637903
D159_D160_D161.csv,56799785.21697728,57023385.777331665,56756283.930140235,3839.7623552189266,56863876.48332646
D1663_D1664_D1665.csv,6855303.867667579,6824059.578654341,6919489.862869295,15504.266264619888,6384981.938353892
D11_D12_D13.csv,15259660.197394973,15050143.114185369,15055105.980287563,130502.7132418333,15300114.026725883
D48_D49_D50.csv,0.4435478033337773,0.44172580747630014,0.4436846446517232,0.0005125480325057967,0.4515702642127352
D2053_D2054_D2055.csv,2029348.8643694767,2031913.051851701,2031465.8173775694,3481.53594063816,2126472.964486701
D50_D51_D52.csv,9636432.344988521,8722588.255078716,9537060.28279161,9384.235938775517,9442017.150824625
D1638_D1639_D1640.csv,42766168.15923033,42855417.35391662,42770434.947455905,1220.726274359749,42870048.76047654
D3599_D3600_D3601.csv,3706.7598969664323,4369.182744401238,3879.658578999729,1819.092896804185,4161.532209517472
D13_D14_D15.csv,18207641.557782423,18315689.51543059,18582585.91693895,18912.008501098695,18418369.445044123
D3602_D3603_D3604.csv,2938101.5041956576,2912483.9734526286,2913071.004414055,82761.78313014077,2901186.6977430894
D3622_D3623_D3624.csv,11192.756396790468,9940.062250858682,6453.076372669236,2925.193785517206,15079.191797427795
D138_D139_D140.csv,18313812.425549395,19110129.32601425,19110129.32601425,814909.8285511491,17611693.502273947
D45_D46_D47.csv,1790.8298043614316,1765.917868291062,1768.6068921898143,1972.7862072833275,1177.824667468126
D3608_D3609_D3610.csv,229161232.35976794,229469301.02170566,229457800.16898406,265491.2537797974,229949609.66736117
D1623_D1624_D1625.csv,41938913.61092223,40916341.2105147,40916341.2105147,91040.5575907121,41424079.00389165
D2084_D2085_D2086.csv,3518.230878215238,2531.6391498978205,2518.859941851711,2133.0526315789475,4676.410172249645
