fname,xgb,lasso,dt,xgb_lasso_dt
D1628_D1629_D1630.csv,7270978.669745778,7190117.343218394,43288.94482256671,7485437.683389659
D3616_D3617_D3618.csv,126272.43452813911,118103.20908094355,1799.5479897002804,114131.52200431912
D1622_D1623_D1624.csv,29066659.155529987,27692749.23157689,18621.972980927312,28487211.155147206
D2057_D2058_D2059.csv,13399.397349705441,11655.412764350747,3902.967857142858,14220.152921999777
D154_D155_D156.csv,17712270.943384077,17636384.502102047,116869.65666981011,16650006.830144852
D1645_D1646_D1647.csv,70250.56843787266,92382.27706324737,5023.472439234764,157474.64426076267
D170_D171_D172.csv,77365.2718492543,26999.579580571637,49982.252500466035,53095.03524218717
D4_D5_D6.csv,595735.2828194457,603712.0443853607,41.3406974216777,593969.4850726178
D3636_D3637_D3638.csv,22911167.418380987,25757270.641089812,50736.534651796814,22542543.433101762
D2052_D2053_D2054.csv,6804510.153160311,6719620.283698659,3791.5541666666663,6933292.417319516
D149_D150_D151.csv,3321370.9638025463,3998421.53099879,26449.068717193535,3872335.857988993
D3610_D3611_D3612.csv,106056984.96858545,102548739.19201842,254378.29371806083,100730232.27415957
D2077_D2078_D2079.csv,1792999.9771703675,1764791.17323882,13477.744079518987,1740767.3097357906
D3600_D3601_D3602.csv,17221588.24272164,17080825.31330446,673.6732767905335,17048162.09773832
D1631_D1632_D1633.csv,4959650.218629393,4901410.736212544,76275.70240457155,4735047.36035426
D2070_D2071_D2072.csv,1202173.1878169538,1170792.768840825,6055.925081279415,1269243.1470577002
D1618_D1619_D1620.csv,1309188.3602143645,1140190.7979083706,55349.532273984936,1077943.0438029002
D3642_D3643_D3644.csv,3942001.935058189,6125872.27456594,328833.2597966084,4442057.267098061
D1626_D1627_D1628.csv,36845.97249873408,37574.173742171704,29348.9646910502,40925.73721011834
D2078_D2079_D2080.csv,735621.6199926833,1126775.5771476843,29290.942916328626,832960.4237806611
D3625_D3626_D3627.csv,748814.3569971124,338093.884602033,192451.55298826113,265684.550113221
D2072_D2073_D2074.csv,126731.66870664772,615552.9011561183,183829.7797203135,234183.6932459777
D36_D37_D38.csv,7220852.701860695,7063561.966942398,9629.347903080767,7286129.76866552
D2064_D2065_D2066.csv,1758345.0174873045,1501807.0639237934,3977.799332198437,1598914.981683593
D31_D32_D33.csv,11317693.542247813,13038672.638201749,124050.76471233593,12417457.852356713
D40_D41_D42.csv,50501950.89716796,47607511.892659545,631085.4360310232,50826717.22054143
D3612_D3613_D3614.csv,70269611.43324935,69929906.3418607,701.593942769007,70049799.69449921
D133_D134_D135.csv,11936417.701109992,1379619.4017497331,4865773.737818541,2907895.5267606974
